"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Telecommunication Services",1105729838
"ABC","ADBRI LIMITED","1962-05-31","Materials",2042724247
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","2021-12-06","Diversified Financials",48427443
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate",2903058616
"ABR","AMERICAN PACIFIC BORATES LIMITED","2017-07-28","Materials",1127750207
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components",13270207
"ABX","ABX GROUP LIMITED","2009-12-24","Materials",26830898
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing",208956383
"AC8","AUSCANN GROUP HOLDINGS LTD","1989-05-03","Pharmaceuticals, Biotechnology & Life Sciences",33041033
"ACB","A-CAP ENERGY LIMITED","2006-05-19","Energy",126401669
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","2008-06-27","Capital Goods",130962192
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","2021-05-14","Health Care Equipment & Services",1015225095
"ACP","AUDALIA RESOURCES LIMITED","2011-07-06","Materials",8305634
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","2014-05-01","Not Applic",117901063
"ACR","ACRUX LIMITED","2004-09-29","Pharmaceuticals, Biotechnology & Life Sciences",27544408
"ACS","ACCENT RESOURCES NL","2005-08-26","Materials",26097528
"ACU","ACUMENTIS GROUP LIMITED","2003-12-05","Real Estate",28050791
"ACW","ACTINOGEN MEDICAL LIMITED","2007-10-16","Pharmaceuticals, Biotechnology & Life Sciences",174326966
"AD1","AD1 HOLDINGS LIMITED","2016-06-23","Media & Entertainment",12840473
"AD8","AUDINATE GROUP LIMITED","2017-06-30","Technology Hardware & Equipment",575638540
"ADA","ADACEL TECHNOLOGIES LIMITED","1998-02-27","Software & Services",90050417
"ADD","ADAVALE RESOURCES LIMITED","1992-02-06","Energy",13832935
"ADH","ADAIRS LIMITED","2015-06-17","Retailing",498998380
"ADN","ANDROMEDA METALS LIMITED","1996-09-17","Materials",434652233
"ADO","ANTEOTECH LTD","2000-04-07","Pharmaceuticals, Biotechnology & Life Sciences",387172452
"ADR","ADHERIUM LIMITED","2015-08-26","Health Care Equipment & Services",26409555
"ADS","ADSLOT LTD.","1987-12-17","Software & Services",33694107
"ADT","ADRIATIC METALS PLC","2018-05-01","Materials",556385672
"ADV","ARDIDEN LTD","2005-10-25","Materials",31927708
"ADX","ADX ENERGY LTD","1987-01-29","Energy",23924982
"ADY","ADMIRALTY RESOURCES NL.","1983-12-01","Materials",26071583
"AE1","AERISON GROUP LTD","2021-07-12","Capital Goods",56598435
"AEE","AURA ENERGY LIMITED","2006-05-30","Energy",112353543
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","2002-12-17","Diversified Financials",864257091
"AEG","ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","2015-12-16","Not Applic",81341954
"AEI","AERIS ENVIRONMENTAL LTD","2000-09-12","Commercial & Professional Services",13410531
"AER","AEERIS LTD","2015-04-01","Media & Entertainment",10021740
"AEV","AVENIRA LIMITED","2006-10-10","Materials",12079939
"AFA","ASF GROUP LIMITED","1985-05-29","Diversified Financials",47561177
"AFG","AUSTRALIAN FINANCE GROUP LTD","2015-05-22","Banks",632452861
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","1962-06-30","Not Applic",9967634697
"AFL","AF LEGAL GROUP LTD","2003-09-19","Commercial & Professional Services",32019905
"AFP","AFT PHARMACEUTICALS LIMITED","2015-12-22","Pharmaceuticals, Biotechnology & Life Sciences",392614725
"AFW","APPLYFLOW LIMITED","2010-11-30","Media & Entertainment",11830432
"AGC","AUSTRALIAN GOLD AND COPPER LTD","2021-01-20","Materials",9400000
"AGD","AUSTRAL GOLD LIMITED","1997-04-18","Materials",54495710
"AGE","ALLIGATOR ENERGY LIMITED","2011-02-03","Energy",189800661
"AGG","ANGLOGOLD ASHANTI LIMITED","1999-11-16","Materials",11697978800
"AGH","ALTHEA GROUP HOLDINGS LIMITED","2018-09-21","Pharmaceuticals, Biotechnology & Life Sciences",61379674
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","2001-12-17","Consumer Services",397416836
"AGJ","AGRICULTURAL LAND TRUST","2003-04-10","Real Estate","N/A"
"AGL","AGL ENERGY LIMITED.","2006-10-12","Utilities",5036600528
"AGN","ARGENICA THERAPEUTICS LIMITED","2021-06-11","Pharmaceuticals, Biotechnology & Life Sciences",46098518
"AGR","AGUIA RESOURCES LIMITED","2008-02-13","Materials",18955060
"AGS","ALLIANCE RESOURCES LIMITED","1994-10-19","Materials",38483170
"AGY","ARGOSY MINERALS LIMITED","1997-04-03","Materials",413346133
"AHC","AUSTCO HEALTHCARE LIMITED","2004-09-24","Health Care Equipment & Services",38365508
"AHF","AUSTRALIAN DAIRY NUTRITIONALS GROUP","2006-06-30","Food, Beverage & Tobacco",33399192
"AHI","ADVANCED HUMAN IMAGING LTD","2015-08-17","Software & Services",47777321
"AHK","ARK MINES LIMITED","2011-05-09","Materials",8923144
"AHN","ATHENA RESOURCES LIMITED","2006-11-22","Materials",7316708
"AHQ","ALLEGIANCE COAL LIMITED","2012-05-29","Materials",192960969
"AHX","APIAM ANIMAL HEALTH LIMITED","2015-12-15","Health Care Equipment & Services",121689332
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","1999-02-22","Transportation",9777739550
"AIB","AURORA GLOBAL INCOME TRUST","2007-12-24","Not Applic",721910
"AII","ALMONTY INDUSTRIES INC.","2021-08-02","Materials",207704554
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","2020-09-15","Commercial & Professional Services",127616535
"AIQ","ALTERNATIVE INVESTMENT TRUST","2005-05-08","Not Applic",35159341
"AIR","ASTIVITA LIMITED","2009-12-16","Capital Goods",19252530
"AIS","AERIS RESOURCES LIMITED","2011-02-02","Materials",315641363
"AIV","ACTIVEX LIMITED","2006-04-11","Materials",9945319
"AIZ","AIR NEW ZEALAND LIMITED","1997-10-01","Transportation",1661809457
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","2007-03-19","Health Care Equipment & Services","N/A"
"AJL","AJ LUCAS GROUP LIMITED","1999-08-10","Capital Goods",43066319
"AJQ","ARMOUR ENERGY LIMITED","2012-04-26","Energy",33654363
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","1999-12-22","Materials",38715395
"AJY","ASAPLUS RESOURCES LIMITED","2012-11-16","Materials",2720000
"AKE","ALLKEM LIMITED","2007-12-04","Materials",5979989997
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","1977-06-01","Consumer Services",32541689
"AKL","AUCKLAND REAL ESTATE TRUST","2005-09-23","Real Estate",62265166
"AKM","ASPIRE MINING LIMITED","2007-02-06","Materials",39088048
"AKN","AUKING MINING LIMITED","2007-10-29","Materials",15810827
"AKO","AKORA RESOURCES LIMITED","2020-12-15","Materials",21973220
"AKP","AUDIO PIXELS HOLDINGS LIMITED","2004-12-24","Consumer Durables & Apparel",559623929
"AL3","AML3D LIMITED","2020-04-20","Capital Goods",18807298
"AL8","ALDERAN RESOURCES LIMITED","2017-06-09","Materials",9362454
"ALA","AROVELLA THERAPEUTICS LIMITED","2002-01-24","Pharmaceuticals, Biotechnology & Life Sciences",26450648
"ALB","ALBION RESOURCES LIMITED","2021-04-30","Materials",7700000
"ALC","ALCIDION GROUP LIMITED","2011-06-24","Health Care Equipment & Services",259954156
"ALD","AMPOL LIMITED","1980-12-31","Energy",7258681936
"ALG","ARDENT LEISURE GROUP LIMITED","2018-11-30","Consumer Services",657197242
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","2015-07-03","Not Applic",391417528
"ALK","ALKANE RESOURCES LIMITED","1980-10-07","Materials",553892581
"ALL","ARISTOCRAT LEISURE LIMITED","1996-07-09","Consumer Services",26008168739
"ALM","ALMA METALS LIMITED","2007-04-18","Energy",21444695
"ALO","ALLOGGIO GROUP LIMITED","2021-11-29","Consumer Services",28102203
"ALQ","ALS LIMITED","1952-07-18","Commercial & Professional Services",5799699015
"ALT","ANALYTICA LIMITED","2000-10-25","Health Care Equipment & Services",9227602
"ALU","ALTIUM LIMITED","1999-08-04","Software & Services",4376605407
"ALV","ALVO MINERALS LIMITED","2021-10-20","Materials",30238131
"ALX","ATLAS ARTERIA","2010-01-25","Transportation",6348700656
"ALY","ALCHEMY RESOURCES LIMITED","2007-11-26","Materials",13332828
"AM7","ARCADIA MINERALS LIMITED","2021-06-25","Materials",18810022
"AMA","AMA GROUP LIMITED","2006-08-31","Commercial & Professional Services",329283334
"AMC","AMCOR PLC","1969-08-28","Materials",24537518204
"AMD","ARROW MINERALS LTD","2005-10-28","Materials",10031625
"AME","ALTO METALS LIMITED","2012-12-20","Materials",42243001
"AMH","AMCIL LIMITED","2000-02-10","Not Applic",353282469
"AMI","AURELIA METALS LIMITED","2007-05-08","Materials",550490123
"AML","AEON METALS LIMITED.","2007-06-14","Materials",42424636
"AMM","ARMADA METALS LIMITED","2021-12-15","Materials",14560000
"AMN","AGRIMIN LIMITED","2007-10-09","Materials",86283828
"AMO","AMBERTECH LIMITED","2004-12-10","Technology Hardware & Equipment",28828394
"AMP","AMP LIMITED","1998-06-15","Diversified Financials",3217114265
"AMS","ATOMOS LIMITED","2018-12-28","Consumer Durables & Apparel",215681037
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","2007-12-05","Health Care Equipment & Services",17235768
"AMX","AEROMETREX LIMITED","2019-12-10","Commercial & Professional Services",56640000
"AN1","ANAGENICS LIMITED","2005-12-09","Pharmaceuticals, Biotechnology & Life Sciences",10609023
"AND","ANSARADA GROUP LIMITED","2020-02-14","Software & Services",199161016
"ANG","AUSTIN ENGINEERING LIMITED","2004-03-09","Capital Goods",174490798
"ANL","AMANI GOLD LIMITED","2006-12-14","Materials",34400162
"ANN","ANSELL LIMITED","1985-08-22","Health Care Equipment & Services",3303488302
"ANO","ADVANCE ZINCTEK LIMITED","2005-02-24","Materials",154765863
"ANP","ANTISENSE THERAPEUTICS LIMITED","2001-12-20","Pharmaceuticals, Biotechnology & Life Sciences",96975127
"ANR","ANATARA LIFESCIENCES LTD","2014-10-16","Pharmaceuticals, Biotechnology & Life Sciences",8562675
"ANW","AUS TIN MINING LTD","2010-10-21","Materials",12716787
"ANX","ANAX METALS LIMITED","2004-06-15","Materials",34436822
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","1969-09-30","Banks",77697254437
"AO1","ASSETOWL LIMITED","2011-05-30","Software & Services",3236738
"AOA","AUSMON RESOURCES LIMITED","2009-03-31","Materials",6307625
"AOF","AUSTRALIAN UNITY OFFICE FUND","2016-06-20","Real Estate",410958593
"AON","APOLLO MINERALS LIMITED","2007-10-31","Materials",36672971
"AOU","AUROCH MINERALS LTD","2011-09-01","Materials",39715698
"APA","APA GROUP","2000-06-13","Utilities",11810737418
"APC","AUSTRALIAN POTASH LIMITED","2011-12-20","Materials",47547086
"APE","EAGERS AUTOMOTIVE LIMITED","1957-04-17","Retailing",3597063484
"APG","AUSTPAC RESOURCES NL","1986-07-24","Materials","N/A"
"API","AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED","1997-06-16","Health Care Equipment & Services",753763734
"APM","APM HUMAN SERVICES INTERNATIONAL LIMITED","2021-11-12","Commercial & Professional Services",2503906713
"APS","ALLUP SILICA LIMITED",,"Materials",0
"APW","AIMS PROPERTY SECURITIES FUND","2004-12-17","Real Estate",53746715
"APX","APPEN LIMITED","2015-01-07","Software & Services",1054752030
"APZ","ASPEN GROUP","1991-04-11","Real Estate",224007077
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","1999-12-17","Materials",6310601
"AQD","AUSQUEST LIMITED","2003-11-25","Materials",14010537
"AQI","ALICANTO MINERALS LIMITED","2012-09-19","Materials",40184930
"AQN","AQUIRIAN LIMITED","2021-07-27","Commercial & Professional Services",21600000
"AQS","AQUIS ENTERTAINMENT LIMITED","2011-12-02","Consumer Services",25919747
"AQX","ALICE QUEEN LIMITED","2004-09-09","Materials",10729936
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","2011-12-20","Transportation",572215521
"AR1","AUSTRAL RESOURCES AUSTRALIA LTD","2021-11-03","Materials",89075000
"AR3","AUSTRALIAN RARE EARTHS LIMITED","2021-07-01","Materials",88235667
"AR9","ARCHTIS LIMITED","2018-09-21","Software & Services",42208513
"ARA","ARIADNE AUSTRALIA LIMITED","1982-10-12","Commercial & Professional Services",127557534
"ARB","ARB CORPORATION LIMITED.","1987-06-26","Automobiles & Components",3466310342
"ARC","ARC FUNDS LIMITED","2000-04-14","Diversified Financials",18045811
"ARD","ARGENT MINERALS LIMITED","2008-04-03","Materials",26481908
"ARE","ARGONAUT RESOURCES NL","1986-01-23","Materials",14424819
"ARF","ARENA REIT.","2013-06-13","Real Estate",1706255888
"ARG","ARGO INVESTMENTS LIMITED","1963-03-31","Not Applic",7162524237
"ARL","ARDEA RESOURCES LIMITED","2017-02-09","Materials",98569455
"ARN","ALDORO RESOURCES LIMITED","2018-09-13","Materials",35367743
"ARO","ASTRO RESOURCES NL","1986-08-14","Materials",28231448
"ARR","AMERICAN RARE EARTHS LIMITED","2011-02-17","Materials",158201530
"ART","AIRTASKER LIMITED","2021-03-23","Media & Entertainment",314296989
"ARU","ARAFURA RESOURCES LIMITED","2003-11-05","Materials",302331380
"ARV","ARTEMIS RESOURCES LIMITED","2007-03-16","Materials",108289817
"ARX","AROA BIOSURGERY LIMITED","2020-07-24","Pharmaceuticals, Biotechnology & Life Sciences",261856542
"AS1","ANGEL SEAFOOD HOLDINGS LTD","2018-02-21","Food, Beverage & Tobacco",31507097
"AS2","ASKARI METALS LIMITED","2021-07-07","Materials",17925734
"ASB","AUSTAL LIMITED","1998-12-08","Capital Goods",738190634
"ASG","AUTOSPORTS GROUP LIMITED.","2016-11-16","Retailing",390945000
"ASH","ASHLEY SERVICES GROUP LIMITED","2014-08-21","Commercial & Professional Services",107262048
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","2020-07-30","Materials",1088146847
"ASN","ANSON RESOURCES LIMITED","2010-07-08","Materials",117460917
"ASO","ASTON MINERALS LIMITED","2011-03-04","Materials",147900601
"ASP","ASPERMONT LIMITED.","2000-04-27","Media & Entertainment",48431346
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","2007-10-22","Materials",26836057
"ASW","ADVANCED SHARE REGISTRY LIMITED","2008-06-10","Diversified Financials",61890488
"ASX","ASX LIMITED","1998-10-14","Diversified Financials",16434293302
"AT1","ATOMO DIAGNOSTICS LIMITED","2020-04-16","Health Care Equipment & Services",82446682
"ATA","ATTURRA LIMITED","2021-12-22","Software & Services",108297242
"ATC","ALTECH CHEMICALS LTD","2010-01-27","Materials",133539161
"ATH","ALTERITY THERAPEUTICS LIMITED","2000-03-28","Pharmaceuticals, Biotechnology & Life Sciences",48137492
"ATL","APOLLO TOURISM & LEISURE LTD","2016-11-04","Automobiles & Components",109829036
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","1999-08-09","Materials",5528575083
"ATP","ATLAS PEARLS LTD","1993-12-31","Consumer Durables & Apparel",16686999
"ATR","ASTRON CORPORATION LIMITED","1983-11-11","Materials",83896798
"ATS","AUSTRALIS OIL & GAS LIMITED","2016-07-25","Energy",70592428
"ATU","ATRUM COAL LIMITED","2012-07-24","Materials",15210103
"ATV","ACTIVEPORT GROUP LTD","2021-10-20","Software & Services",33411149
"ATX","AMPLIA THERAPEUTICS LIMITED","2013-12-23","Pharmaceuticals, Biotechnology & Life Sciences",28108830
"AU1","THE AGENCY GROUP AUSTRALIA LTD","2007-12-18","Real Estate",20143099
"AUA","AUDEARA LIMITED","2021-05-18","Consumer Durables & Apparel",14175000
"AUB","AUB GROUP LIMITED","2005-11-16","Insurance",1653735656
"AUC","AUSGOLD LIMITED","2009-12-16","Materials",74265829
"AUE","AURUM RESOURCES LIMITED","2021-11-02","Materials",5400000
"AUH","AUSTCHINA HOLDINGS LIMITED","2003-03-17","Energy",32355438
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","1974-01-01","Not Applic",1201142448
"AUK","AUMAKE LIMITED.","2011-12-07","Retailing",11406704
"AUN","AURUMIN LIMITED","2020-12-09","Materials",15878468
"AUP","AURORA PROPERTY BUY-WRITE INCOME TRUST","2007-07-26","Not Applic","N/A"
"AUQ","ALARA RESOURCES LIMITED","2007-05-24","Materials",52201764
"AUR","AURIS MINERALS LIMITED","2001-03-15","Materials",22401420
"AUT","AUTECO MINERALS LTD","2005-09-21","Materials",136742494
"AUZ","AUSTRALIAN MINES LIMITED","2001-09-28","Materials",73160808
"AV1","ADVERITAS LIMITED","2012-12-18","Software & Services",44085851
"AVA","AVA RISK GROUP LIMITED","2015-05-11","Technology Hardware & Equipment",94755642
"AVC","AUCTUS INVESTMENT GROUP LIMITED","2011-08-10","Diversified Financials",86777574
"AVD","AVADA GROUP LIMITED","2021-12-17","Commercial & Professional Services",68139573
"AVE","AVECHO BIOTECHNOLOGY LIMITED","1993-08-09","Pharmaceuticals, Biotechnology & Life Sciences",25729375
"AVG","AUSTRALIAN VINTAGE LTD","1992-03-26","Food, Beverage & Tobacco",193268442
"AVH","AVITA MEDICAL INC.","2020-06-24","Pharmaceuticals, Biotechnology & Life Sciences",309429100
"AVJ","AVJENNINGS LIMITED","1994-01-27","Real Estate",233582669
"AVL","AUSTRALIAN VANADIUM LIMITED","2007-02-21","Materials",108906927
"AVN","AVENTUS GROUP","2015-10-16","Real Estate","N/A"
"AVR","ANTERIS TECHNOLOGIES LTD","2004-03-24","Health Care Equipment & Services",218702303
"AVW","AVIRA RESOURCES LTD","2013-01-09","Materials",9453345
"AVZ","AVZ MINERALS LIMITED","2007-09-14","Materials",2709869518
"AW1","AMERICAN WEST METALS LIMITED","2021-12-13","Materials",21557475
"AWC","ALUMINA LIMITED","1961-10-31","Materials",5832379648
"AWJ","AURIC MINING LIMITED","2021-02-12","Materials",9308433
"AWV","ANOVA METALS LIMITED","2011-05-18","Materials",27228790
"AX1","ACCENT GROUP LIMITED","2004-07-07","Retailing",1121664100
"AX8","ACCELERATE RESOURCES LIMITED","2018-02-14","Materials",10898733
"AXE","ARCHER MATERIALS LIMITED","2007-08-14","Semiconductors & Semiconductor Equipment",251280715
"AXI","AXIOM PROPERTIES LIMITED","1997-01-31","Real Estate",33318952
"AXP","AXP ENERGY LIMITED","2006-07-20","Energy",46497445
"AYA","ARTRYA LIMITED","2021-11-26","Health Care Equipment & Services",89593491
"AYI","A1 INVESTMENTS & RESOURCES LTD","2007-10-02","Diversified Financials",16421946
"AYM","AUSTRALIA UNITED MINING LIMITED","2011-09-19","Materials",11055465
"AYT","AUSTIN METALS LIMITED","2011-07-06","Materials",24380992
"AZI","ALTAMIN LIMITED","2009-12-24","Materials",20642280
"AZIN","ALTAMIN LIMITED","2009-12-24","Materials",20642280
"AZJ","AURIZON HOLDINGS LIMITED","2010-11-22","Transportation",6921046972
"AZL","ARIZONA LITHIUM LIMITED","1971-07-08","Materials",249720807
"AZS","AZURE MINERALS LIMITED","2003-12-16","Materials",121186931
"AZY","ANTIPA MINERALS LIMITED","2011-04-20","Materials",144426580
"B4P","BEFOREPAY GROUP LIMITED","2022-01-17","Diversified Financials",54810153
"BAP","BAPCOR LIMITED","2014-04-24","Retailing",2291034375
"BAS","BASS OIL LIMITED","2004-09-30","Energy",9225363
"BAT","BATTERY MINERALS LIMITED","2012-10-29","Materials",21127181
"BBC","BNK BANKING CORPORATION LIMITED","2012-05-22","Banks",147092145
"BBL","BRISBANE BRONCOS LIMITED","1989-05-12","Media & Entertainment",63726411
"BBN","BABY BUNTING GROUP LIMITED","2015-10-14","Retailing",651526700
"BBT","BLUEBET HOLDINGS LTD","2021-07-02","Consumer Services",144078947
"BBX","BBX MINERALS LIMITED","2005-08-12","Materials",62102899
"BC8","BLACK CAT SYNDICATE LIMITED","2018-01-30","Materials",83076608
"BCA","BLACK CANYON LIMITED","2021-05-05","Materials",10183459
"BCB","BOWEN COKING COAL LIMITED","1995-06-22","Materials",249445516
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","1986-11-06","Technology Hardware & Equipment",31976111
"BCI","BCI MINERALS LIMITED","2006-12-15","Materials",458317527
"BCK","BROCKMAN MINING LIMITED","2011-01-11","Materials",510357767
"BCN","BEACON MINERALS LIMITED","2006-10-20","Materials",129285540
"BCT","BLUECHIIP LIMITED","2011-06-09","Technology Hardware & Equipment",23942552
"BDC","BARDOC GOLD LIMITED","2007-12-12","Materials",143908357
"BDG","BLACK DRAGON GOLD CORP.","2018-08-29","Materials",11556006
"BDM","BURGUNDY DIAMOND MINES LIMITED","2013-01-04","Materials",84142059
"BDT","BIRDDOG TECHNOLOGY LIMITED","2021-12-20","Technology Hardware & Equipment",71615385
"BDX","BCAL DIAGNOSTICS LIMITED","2021-07-21","Pharmaceuticals, Biotechnology & Life Sciences",23795930
"BEE","BROO LTD","2016-10-14","Food, Beverage & Tobacco",9520796
"BEL","BENTLEY CAPITAL LIMITED","1986-11-07","Not Applic",6394745
"BEM","BLACKEARTH MINERALS NL","2018-01-19","Materials",30265665
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","1985-12-19","Banks",5687782949
"BET","BETMAKERS TECHNOLOGY GROUP LTD","2015-12-11","Consumer Services",551110812
"BEX","BIKEEXCHANGE LIMITED","2021-02-09","Retailing",26076636
"BEZ","BESRA GOLD INC.","2021-10-08","Materials",25709627
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","2015-08-28","Food, Beverage & Tobacco",57010761
"BFG","BELL FINANCIAL GROUP LIMITED","2007-12-12","Diversified Financials",476304763
"BFL","BSP FINANCIAL GROUP LIMITED","2021-05-25","Banks",2149227746
"BGA","BEGA CHEESE LIMITED","2011-08-19","Food, Beverage & Tobacco",1602791015
"BGD","BARTON GOLD HOLDINGS LIMITED","2021-06-28","Materials",46538431
"BGL","BELLEVUE GOLD LIMITED","2005-12-20","Materials",948843547
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","2017-07-20","Retailing",1077172492
"BGT","BIO-GENE TECHNOLOGY LTD","2017-11-29","Materials",44078663
"BHD","BENJAMIN HORNIGOLD LIMITED","2017-05-12","Not Applic",6401139
"BHL","BOYUAN HOLDINGS LIMITED","2016-10-31","Real Estate","N/A"
"BHP","BHP GROUP LIMITED","1885-08-13","Materials",243497745439
"BID","BILL IDENTITY LIMITED","2011-01-27","Software & Services",25577994
"BIO","BIOME AUSTRALIA LIMITED","2021-11-30","Household & Personal Products",19391256
"BIQ","BUILDINGIQ INC","2015-12-17","Software & Services","N/A"
"BIR","BIR FINANCIAL LIMITED","2006-07-31","Diversified Financials",3793085
"BIS","BISALLOY STEEL GROUP LIMITED","2003-06-23","Materials",68503796
"BIT","BIOTRON LIMITED","2001-01-24","Pharmaceuticals, Biotechnology & Life Sciences",44923694
"BKG","BOOKTOPIA GROUP LIMITED","2020-12-03","Retailing",153842415
"BKI","BKI INVESTMENT COMPANY LIMITED","2003-12-12","Not Applic",1200024705
"BKL","BLACKMORES LIMITED","1985-05-02","Household & Personal Products",1796725762
"BKT","BLACK ROCK MINING LIMITED","2003-12-10","Materials",221504618
"BKW","BRICKWORKS LIMITED","1962-06-30","Materials",3276836564
"BKY","BERKELEY ENERGIA LIMITED","2003-09-16","Energy",95846294
"BLD","BORAL LIMITED.","2000-02-21","Materials",4015241845
"BLG","BLUGLASS LIMITED","2006-09-22","Semiconductors & Semiconductor Equipment",35182179
"BLU","BLUE ENERGY LIMITED.","1994-10-13","Energy",80995389
"BLX","BEACON LIGHTING GROUP LIMITED","2014-04-15","Retailing",571702799
"BLY","BOART LONGYEAR GROUP LTD","2007-04-05","Materials",769393076
"BLZ","BLAZE MINERALS LIMITED","1996-09-12","Energy",13227504
"BME","BLACK MOUNTAIN ENERGY LTD","2021-12-23","Energy",36975000
"BMG","BMG RESOURCES LIMITED","2004-05-12","Materials",12159683
"BMH","BAUMART HOLDINGS LIMITED","2015-06-19","Capital Goods",28948951
"BML","BOAB METALS LIMITED","2004-07-15","Materials",55257670
"BMM","BALKAN MINING AND MINERALS LIMITED","2021-07-14","Materials",14736000
"BMN","BANNERMAN ENERGY LTD","2005-04-28","Energy",240727732
"BMO","BASTION MINERALS LIMITED","2021-03-16","Materials",14004883
"BMR","BALLYMORE RESOURCES LIMITED","2021-09-03","Materials",19737262
"BMT","BEAMTREE HOLDINGS LIMITED","2019-06-06","Health Care Equipment & Services",98915742
